City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
103,Saint-Francois,FR,2022-04-06 23:03:17,46.4154,3.9054,51.24,72,100,8.05
104,Bitkine,TD,2022-04-06 23:03:17,11.9801,18.2138,89.53,20,9,4.54
105,Iqaluit,CA,2022-04-06 23:03:18,63.7506,-68.5145,4.69,71,24,17.0
106,Talnakh,RU,2022-04-06 23:03:18,69.4865,88.3972,19.98,95,99,5.59
107,Pevek,RU,2022-04-06 23:03:18,69.7008,170.3133,-8.84,96,100,6.22
108,Naze,JP,2022-04-06 23:03:19,28.3667,129.4833,62.1,60,86,4.45
109,Freetown,SL,2022-04-06 23:00:14,8.484,-13.2299,76.55,86,76,5.01
110,Sinnamary,GF,2022-04-06 23:01:16,5.3833,-52.95,77.14,88,67,12.17
111,Ngunguru,NZ,2022-04-06 23:03:19,-35.6167,174.5,68.02,55,13,11.92
112,Belmonte,BR,2022-04-06 23:03:20,-15.8631,-38.8828,77.05,79,0,4.7
113,Reconquista,AR,2022-04-06 23:03:20,-29.15,-59.65,73.62,88,68,6.22
114,Avera,US,2022-04-06 23:03:20,33.194,-82.5271,71.11,89,99,12.86
115,Alegrete,BR,2022-04-06 23:03:20,-29.7831,-55.7919,69.78,85,24,8.41
116,Ilulissat,GL,2022-04-06 23:03:21,69.2167,-51.1,24.82,86,100,3.44
117,Chuy,UY,2022-04-06 23:03:21,-33.6971,-53.4616,61.92,80,0,8.08
118,East London,ZA,2022-04-06 23:00:34,-33.0153,27.9116,61.29,61,1,22.91
119,Sao Filipe,CV,2022-04-06 23:03:22,14.8961,-24.4956,72.41,73,4,11.27
120,Tuatapere,NZ,2022-04-06 23:03:22,-46.1333,167.6833,50.81,68,100,1.97
121,Selogiri,ID,2022-04-06 23:03:22,-7.7833,110.8667,73.63,95,85,4.59
122,Kodiak,US,2022-04-06 23:02:46,57.79,-152.4072,38.71,81,100,10.36
123,Tolmin,SI,2022-04-06 23:03:23,46.183,13.7332,48.58,81,100,4.0
124,New Norfolk,AU,2022-04-06 23:03:23,-42.7826,147.0587,59.92,65,0,2.06
125,Butaritari,KI,2022-04-06 23:03:24,3.0707,172.7902,81.52,76,97,19.75
126,Qaanaaq,GL,2022-04-06 23:03:24,77.484,-69.3632,5.16,94,99,4.68
127,Cobija,BO,2022-04-06 23:03:24,-11.0267,-68.7692,77.85,84,41,0.89
128,Eyl,SO,2022-04-06 23:03:25,7.9803,49.8164,77.68,77,2,10.11
129,Oranjestad,AW,2022-04-06 23:03:25,12.524,-70.027,78.26,85,89,25.12
130,Qasigiannguit,GL,2022-04-06 23:03:25,68.8193,-51.1922,25.05,96,100,5.06
131,Padang,ID,2022-04-06 22:59:34,-0.9492,100.3543,73.45,88,100,1.61
132,Ust-Kan,RU,2022-04-06 23:03:26,50.9276,84.761,37.44,84,100,2.1
133,Beringovskiy,RU,2022-04-06 23:03:26,63.05,179.3167,0.72,76,17,5.53
134,Tres Picos,MX,2022-04-06 23:03:26,15.8667,-93.5333,85.86,59,4,7.76
135,Mayo,US,2022-04-06 23:03:27,38.8876,-76.5119,60.75,88,100,9.22
136,Port Hedland,AU,2022-04-06 23:03:27,-20.3167,118.5667,80.65,74,7,8.05
137,Cherskiy,RU,2022-04-06 23:04:27,68.75,161.3,-9.63,92,96,3.29
138,Marataizes,BR,2022-04-06 23:04:28,-21.0433,-40.8244,76.82,83,61,7.83
139,Kontagora,NG,2022-04-06 23:04:28,10.3999,5.4695,88.3,35,100,3.6
140,Port Hardy,CA,2022-04-06 23:04:28,50.6996,-127.4199,40.28,92,100,18.5
141,Gornopravdinsk,RU,2022-04-06 23:04:29,60.05,69.9,24.24,96,13,7.36
142,Tateyama,JP,2022-04-06 23:04:29,34.9833,139.8667,60.1,78,96,12.59
143,Porto Novo,BJ,2022-04-06 23:04:29,6.4965,2.6036,82.26,81,61,8.81
144,Vyartsilya,RU,2022-04-06 23:04:30,62.1764,30.693,19.53,95,96,5.39
145,Ovsyanka,RU,2022-04-06 23:04:30,55.9575,92.5519,43.77,87,100,12.62
146,Tagusao,PH,2022-04-06 23:04:30,9.1924,117.8141,78.1,79,100,0.36
147,Faanui,PF,2022-04-06 23:04:31,-16.4833,-151.75,82.78,73,66,22.88
