City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
107,Constitucion,CL,-35.3333,-72.4167,57.87,68,29,8.77,scattered clouds
108,Souillac,MU,-20.5167,57.5167,77.38,83,75,10.36,light rain
109,Cabo San Lucas,MX,22.8909,-109.9124,78.62,57,0,12.66,clear sky
110,Lasa,IT,46.6166,10.7002,45.48,83,42,5.12,scattered clouds
111,Clyde River,CA,70.4692,-68.5914,3.43,92,75,10.36,broken clouds
112,Wattegama,LK,6.7989,81.4808,75.38,92,88,2.21,overcast clouds
113,Provideniya,RU,64.3833,-173.3,22.51,99,99,5.55,overcast clouds
114,Youkounkoun,GN,12.5333,-13.1333,107.28,7,30,5.12,scattered clouds
115,Port Lincoln,AU,-34.7333,135.8667,62.76,81,100,14.14,overcast clouds
116,Kahului,US,20.8947,-156.47,76.84,74,40,11.5,scattered clouds
117,Kapaa,US,22.0752,-159.319,74.48,92,75,17.27,broken clouds
118,Tunceli,TR,39.1083,39.5471,52.16,85,81,5.39,broken clouds
119,Arraial Do Cabo,BR,-22.9661,-42.0278,84.16,65,40,12.66,scattered clouds
120,Atambua,ID,-9.1061,124.8925,71.47,88,44,3.56,scattered clouds
121,Carnarvon,AU,-24.8667,113.6333,68.07,77,0,11.5,clear sky
122,Kamaishi,JP,39.2667,141.8833,53.26,67,4,8.21,clear sky
123,Evensk,RU,61.95,159.2333,4.87,76,98,11.41,overcast clouds
124,Thabazimbi,ZA,-24.5917,27.4116,59.2,94,100,4.63,light rain
125,Fortuna,US,40.5982,-124.1573,52.93,68,73,8.01,broken clouds
126,Moranbah,AU,-22.0016,148.0466,69.13,96,21,13.69,few clouds
127,Hobart,AU,-42.8794,147.3294,54.01,61,100,6.91,overcast clouds
128,Makakilo City,US,21.3469,-158.0858,74.01,72,100,8.05,overcast clouds
129,Geraldton,AU,-28.7667,114.6,63.01,88,100,5.75,overcast clouds
130,Linjiang,CN,41.8069,126.9078,49.03,67,35,3.78,scattered clouds
131,Te Anau,NZ,-45.4167,167.7167,48.29,82,11,7.25,few clouds
132,Borba,BR,-4.3878,-59.5939,74.79,98,100,5.39,moderate rain
133,San Quintin,MX,30.4833,-115.95,64.74,64,42,8.79,scattered clouds
134,Dikson,RU,73.5069,80.5464,-6.63,100,80,3.67,broken clouds
135,Vardo,NO,70.3705,31.1107,37.38,87,0,21.85,clear sky
136,Komsomolskiy,UZ,40.4272,71.7189,68.72,60,94,2.3,overcast clouds
137,Antofagasta,CL,-23.65,-70.4,65.48,68,16,8.77,few clouds
138,Bandar-E Lengeh,IR,26.5579,54.8807,82.51,39,0,11.5,dust
139,Pinega,RU,64.7001,43.3936,37.26,97,100,10.04,overcast clouds
140,Olafsvik,IS,64.8945,-23.7142,38.68,74,100,15.08,overcast clouds
141,Saskylakh,RU,71.9167,114.0833,-17.95,100,18,3.0,few clouds
142,Santa Cruz,BO,-17.8,-63.1667,89.65,58,75,23.02,broken clouds
143,Tukrah,LY,32.5341,20.5791,61.0,78,4,6.67,clear sky
144,Pisco,PE,-13.7,-76.2167,73.02,78,86,7.18,overcast clouds
145,Thompson,CA,55.7435,-97.8558,35.76,93,100,8.05,overcast clouds
146,Victoria,HK,22.2855,114.1577,77.18,84,1,5.99,clear sky
147,Isangel,VU,-19.55,169.2667,78.91,85,65,7.83,broken clouds
148,Ixtapa,MX,20.7,-105.2,81.63,57,0,0.0,clear sky
149,Tiznit,MA,29.5833,-9.5,74.34,34,32,5.95,scattered clouds
150,Bathsheba,BB,13.2167,-59.5167,86.61,62,75,23.02,broken clouds
151,Nuevo Progreso,MX,23.1667,-97.95,83.53,54,37,1.99,scattered clouds
152,Severnyy,RU,50.677,36.5532,59.04,63,100,2.24,overcast clouds
153,Pyatnitskoye,RU,50.4233,37.8273,54.95,68,100,6.55,overcast clouds
154,Karratha,AU,-20.7377,116.8463,81.73,35,6,11.39,clear sky
155,Esperance,AU,-33.8667,121.9,58.84,92,6,12.59,clear sky
156,Bredasdorp,ZA,-34.5322,20.0403,64.78,89,0,14.54,clear sky
157,Skjervoy,NO,70.0311,20.9714,35.6,75,38,12.33,scattered clouds
158,Aguas Formosas,BR,-17.0822,-40.9358,89.71,48,34,3.2,scattered clouds
159,Stornoway,GB,58.2093,-6.3865,46.36,74,100,8.05,overcast clouds
160,Puerto Colombia,CO,10.9878,-74.9547,89.69,72,89,21.45,overcast clouds
161,Henties Bay,NA,-22.116,14.2845,64.13,71,0,7.49,clear sky
162,Olaine,LV,56.7853,23.9381,42.76,61,20,6.91,few clouds
163,Tomatlan,MX,19.9333,-105.25,92.32,36,0,9.51,clear sky
164,Tiksi,RU,71.6872,128.8694,-16.24,100,100,1.03,overcast clouds
165,Honiara,SB,-9.4333,159.95,76.51,86,47,2.89,scattered clouds
166,Macia,MZ,-25.0269,33.0989,68.97,93,66,8.01,light rain
167,North Bend,US,43.4065,-124.2243,47.16,94,100,0.0,overcast clouds
168,Shimoda,JP,34.6667,138.95,60.1,80,95,7.49,overcast clouds
169,Casablanca,MA,33.5928,-7.6192,80.82,77,100,11.5,overcast clouds
170,Waingapu,ID,-9.6567,120.2641,76.12,79,25,5.95,scattered clouds
171,Kodiak,US,57.79,-152.4072,35.11,44,0,9.22,clear sky
172,Longyan,CN,25.1072,117.0225,63.99,76,0,1.14,clear sky
173,Salalah,OM,17.0151,54.0924,82.49,83,0,3.44,clear sky
174,Kannur,IN,11.8675,75.3576,80.67,86,74,6.44,broken clouds
175,Pevek,RU,69.7008,170.3133,-21.53,100,87,3.36,overcast clouds
176,Krasnoznamensk,RU,55.5994,37.0386,44.58,65,0,2.24,clear sky
177,Isabela,PH,6.7085,121.9711,78.33,87,98,10.63,overcast clouds
178,Shingu,JP,33.7333,135.9833,57.76,73,90,5.06,overcast clouds
179,Rudnya,RU,54.947,31.0934,41.02,68,100,5.82,overcast clouds
180,East London,ZA,-33.0153,27.9116,67.14,94,40,13.8,scattered clouds
181,Tupik,RU,54.4253,119.9327,14.14,92,100,2.93,overcast clouds
182,Baracoa,CU,20.3467,-74.4958,78.73,79,59,14.14,broken clouds
183,Xudat,AZ,41.631,48.681,50.11,82,0,2.39,clear sky
184,San Cristobal,VE,7.7669,-72.225,78.98,41,100,7.31,overcast clouds
185,Taitung,TW,22.7583,121.1444,71.87,100,75,2.3,broken clouds
186,Whitehorse,CA,60.7161,-135.0538,19.09,52,75,5.75,broken clouds
187,Charters Towers,AU,-20.1,146.2667,70.88,93,36,5.41,scattered clouds
188,Kuryk,KZ,43.2,51.65,62.78,47,0,9.28,clear sky
189,Kailua,US,21.4022,-157.7394,77.07,79,86,4.0,overcast clouds
190,Vanavara,RU,60.34,102.2797,13.17,96,61,3.58,broken clouds
191,Christchurch,NZ,-43.5333,172.6333,55.94,91,51,3.44,broken clouds
192,Huilong,CN,31.8111,121.655,62.92,94,12,9.46,few clouds
193,Rabaul,PG,-4.1967,152.1721,80.11,76,52,0.74,broken clouds
194,Dvinskoy,RU,62.1535,45.1175,39.34,99,100,6.96,overcast clouds
195,Tamandare,BR,-8.7597,-35.1047,83.34,67,69,9.95,broken clouds
196,San Policarpo,PH,12.1791,125.5072,80.22,86,100,20.85,overcast clouds
197,San Roque,ES,36.2107,-5.3842,63.43,72,40,13.8,scattered clouds
198,Ribeira Grande,PT,38.5167,-28.7,57.6,67,40,28.77,scattered clouds
199,Lazurne,UA,46.084,32.5295,48.76,88,99,14.27,overcast clouds
200,Ancud,CL,-41.8697,-73.8203,55.22,71,94,4.65,overcast clouds
201,Gladstone,AU,-23.85,151.25,71.53,83,60,6.91,broken clouds
202,Shieli,KZ,44.1667,66.75,73.56,33,100,16.11,overcast clouds
203,Lagoa,PT,39.05,-27.9833,55.94,60,100,33.35,overcast clouds
204,Arlit,NE,18.7369,7.3853,95.16,5,1,5.73,clear sky
205,Nokaneng,BW,-19.6667,22.2667,71.17,65,28,7.43,light rain
206,Mount Isa,AU,-20.7333,139.5,85.77,28,50,8.05,scattered clouds
207,Sukhumi,GE,43.0033,41.0153,62.49,58,100,7.29,overcast clouds
208,Madimba,TZ,-10.4,40.3333,78.12,94,40,9.22,scattered clouds
209,Sao Filipe,CV,14.8961,-24.4956,74.44,72,9,18.61,clear sky
210,Haverfordwest,GB,51.8017,-4.9691,53.19,65,100,10.0,overcast clouds
211,New Iberia,US,30.0035,-91.8187,78.96,57,0,24.16,clear sky
212,Cockburn Town,TC,21.4612,-71.1419,78.8,74,65,9.17,broken clouds
